TimeStamp,orient,pix_per_cell,cell_per_block,color_space,hist_bins,spatial_size,hog_channel,Acc
2018_02_03_14_31_39,9,8,2,YCrCb,32,32,0,0.982263513514
2018_02_03_15_01_59,9,8,2,YCrCb,32,32,0,0.978040540541
2018_02_03_15_03_07,9,8,2,YCrCb,32,32,0,0.982263513514
2018_02_03_15_04_15,9,8,2,YCrCb,32,32,0,0.975788288288
2018_02_03_15_05_19,9,8,2,YCrCb,32,32,1,0.978040540541
2018_02_03_15_06_27,9,8,2,YCrCb,32,32,1,0.977477477477
2018_02_03_15_07_35,9,8,2,YCrCb,32,32,1,0.980574324324
2018_02_03_15_08_46,9,8,2,YCrCb,32,32,2,0.968468468468
2018_02_03_15_10_00,9,8,2,YCrCb,32,32,2,0.972128378378
2018_02_03_15_11_14,9,8,2,YCrCb,32,32,2,0.969031531532
2018_02_03_15_13_55,9,8,2,YCrCb,32,32,ALL,0.988175675676
2018_02_03_15_16_41,9,8,2,YCrCb,32,32,ALL,0.988738738739
2018_02_03_15_19_24,9,8,2,YCrCb,32,32,ALL,0.990146396396
2018_02_03_15_20_33,9,8,2,RGB,32,32,0,0.98338963964
2018_02_03_15_21_44,9,8,2,RGB,32,32,0,0.978603603604
2018_02_03_15_22_54,9,8,2,RGB,32,32,0,0.979448198198
2018_02_03_15_24_05,9,8,2,RGB,32,32,1,0.974099099099
2018_02_03_15_25_16,9,8,2,RGB,32,32,1,0.979448198198
2018_02_03_15_26_28,9,8,2,RGB,32,32,1,0.977195945946
2018_02_03_15_27_40,9,8,2,RGB,32,32,2,0.975225225225
2018_02_03_15_28_53,9,8,2,RGB,32,32,2,0.979448198198
2018_02_03_15_30_05,9,8,2,RGB,32,32,2,0.977759009009
2018_02_03_15_32_57,9,8,2,RGB,32,32,ALL,0.978322072072
2018_02_03_15_35_49,9,8,2,RGB,32,32,ALL,0.976632882883
2018_02_03_15_38_42,9,8,2,RGB,32,32,ALL,0.976914414414
2018_02_03_23_43_16,9,8,2,YCrCb,32,32,0,0.979166666667
2018_02_03_23_44_20,9,8,2,YCrCb,32,32,0,0.98170045045
2018_02_03_23_45_24,9,8,2,YCrCb,32,32,0,0.98338963964
2018_02_03_23_46_29,9,8,2,YCrCb,32,32,1,0.976351351351
2018_02_03_23_47_33,9,8,2,YCrCb,32,32,1,0.977477477477
2018_02_03_23_48_37,9,8,2,YCrCb,32,32,1,0.978885135135
2018_02_03_23_49_45,9,8,2,YCrCb,32,32,2,0.970720720721
2018_02_03_23_50_56,9,8,2,YCrCb,32,32,2,0.969876126126
2018_02_03_23_52_03,9,8,2,YCrCb,32,32,2,0.973817567568
2018_02_03_23_54_22,9,8,2,YCrCb,32,32,ALL,0.987894144144
2018_02_03_23_56_45,9,8,2,YCrCb,32,32,ALL,0.986768018018
2018_02_03_23_59_17,9,8,2,YCrCb,32,32,ALL,0.986486486486
2018_02_04_00_00_23,9,8,2,RGB,32,32,0,0.976351351351
2018_02_04_00_01_28,9,8,2,RGB,32,32,0,0.975788288288
2018_02_04_00_02_33,9,8,2,RGB,32,32,0,0.97972972973
2018_02_04_00_03_39,9,8,2,RGB,32,32,1,0.984234234234
2018_02_04_00_04_44,9,8,2,RGB,32,32,1,0.978885135135
2018_02_04_00_05_50,9,8,2,RGB,32,32,1,0.980011261261
2018_02_04_00_06_55,9,8,2,RGB,32,32,2,0.978040540541
2018_02_04_00_08_00,9,8,2,RGB,32,32,2,0.981418918919
2018_02_04_00_09_06,9,8,2,RGB,32,32,2,0.978885135135
2018_02_04_00_11_43,9,8,2,RGB,32,32,ALL,0.978040540541
2018_02_04_00_14_20,9,8,2,RGB,32,32,ALL,0.978603603604
2018_02_04_00_16_57,9,8,2,RGB,32,32,ALL,0.98170045045
2018_02_04_00_18_06,9,8,2,HLS,32,32,0,0.967342342342
2018_02_04_00_19_15,9,8,2,HLS,32,32,0,0.966216216216
2018_02_04_00_20_24,9,8,2,HLS,32,32,0,0.964245495495
2018_02_04_00_21_31,9,8,2,HLS,32,32,1,0.977477477477
2018_02_04_00_22_37,9,8,2,HLS,32,32,1,0.980574324324
2018_02_04_00_23_45,9,8,2,HLS,32,32,1,0.979166666667
2018_02_04_00_24_53,9,8,2,HLS,32,32,2,0.971846846847
2018_02_04_00_26_02,9,8,2,HLS,32,32,2,0.966779279279
2018_02_04_00_27_11,9,8,2,HLS,32,32,2,0.972128378378
2018_02_04_00_29_49,9,8,2,HLS,32,32,ALL,0.980855855856
2018_02_04_00_32_27,9,8,2,HLS,32,32,ALL,0.985641891892
2018_02_04_00_35_04,9,8,2,HLS,32,32,ALL,0.986204954955
